campus,entity,L1,L1_2021,L2,L3,persistence,L4,L5,n_wos,n_years_active,tau_campus,r_L1,r_L2,r_L3,r_L4,r_L5,n_ledgers,mean_rank,meii,meii_iqr,L6
1,G30,18860.49927273,20401.821051674233,193.5,56.666666666666664,0.6666666666666666,0.0,0.4032839316817111,85,6,1102.8,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,5,0.10666666666666666,0.08944271909999159,0.0,26845.371051674232
2,B10,707263.5,755357.2942018937,0.0,133.65,0.55,502275.44999999995,,243,4,3187.52,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.2857142857142857,,4,0.17857142857142855,0.09221388919541468,0.10714285714285712,755357.2942018937
2,B20,2037579.0999999999,2246372.277168138,21596.329999999998,421.4,0.7,1784199.3900000001,1.0509234198072424,602,5,3187.52,0.5,0.7142857142857143,0.2857142857142857,0.5,0.5833333333333334,5,0.5166666666666667,0.1560386893124852,0.08333333333333337,2804853.370968138
2,B30,1006792.6799999999,1081532.9015048686,16284.630000000001,761.8000000000001,0.65,327762.6,1.1162563224869693,1172,5,3187.52,0.2857142857142857,0.5,0.35714285714285715,0.14285714285714285,0.9166666666666666,5,0.4404761904761904,0.29570815115176713,0.2142857142857143,1502653.4333048686
2,C10,1333121.44,1442272.2410138473,15560.960000000001,2899.2000000000003,0.8,777142.62,0.813121864428029,3624,5,3187.52,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.42857142857142855,0.25,5,0.45,0.1667516789989822,0.0,1844678.6666138473
2,C30,4335653.17,4690266.317506554,17127.300000000003,1542.75,0.75,2966966.5000000005,0.8931529569961407,2057,5,3187.52,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.5,5,0.6,0.06388765649999402,0.07142857142857151,5133178.295506554
2,D10,4775234.709999999,5145285.24216241,20324.340000000004,1038.8,0.7,4267985.14,1.1015087500819567,1484,5,3187.52,0.7142857142857143,0.6428571428571429,0.5,0.7142857142857143,0.8333333333333334,5,0.680952380952381,0.12210363242817225,0.0714285714285714,5670872.67456241
2,D20,12419282.0,13330707.236549936,112410.47,12744.0,0.8,7768021.02,1.0558319038433919,15930,5,3187.52,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.6666666666666666,5,0.8761904761904763,0.11712737024998901,0.0,16237641.990749937
2,D30,18944676.009999998,20427220.52903137,178555.06,16012.0,0.8,12491817.01,0.8327163972662257,20015,5,3187.52,1.0,1.0,1.0,1.0,0.3333333333333333,5,0.8666666666666666,0.2981423969999719,0.0,25044654.38063137
2,D40,1054582.95,1148107.529899517,12518.260000000002,1423.1,0.7,695230.3499999999,1.1007246157887696,2033,5,3187.52,0.35714285714285715,0.35714285714285715,0.5714285714285714,0.35714285714285715,0.75,5,0.47857142857142854,0.17785570854269617,0.21428571428571425,1471829.7334995172
2,D50,6804504.02,7441940.306106905,81178.2,7356.8,0.8,4724050.68,0.7757559716429501,9196,5,3187.52,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.16666666666666666,5,0.6904761904761905,0.29498837365152064,0.0714285714285714,9541208.558106905
2,D90,2829775.1,3119450.1560746147,11454.67,828.75,0.75,2708763.2,1.2082751441288027,1105,5,3187.52,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.5714285714285714,1.0,5,0.5714285714285714,0.2672612419124244,0.14285714285714285,3415667.9222746147
